postcode_2016,Outer Regional Australia,Remote Australia,Very Remote Australia,Major Cities of Australia,Inner Regional Australia,ra_code,ra,ra_digit2,irsad_score_weighted,irsd_score_weighted,economic_score_weighted,education_score_weighted,irsad_decile_weighted,irsd_decile_weighted,economic_decile_weighted,education_decile_weighted,irsd_score_average,irsad_score_average,economic_score_average,education_score_average,irsd_decile_average,irsad_decile_average,economic_decile_average,education_decile_average
0800,99.67,0,0,0,0,72,Outer Regional Australia,2,1095.5211221917937,1066.1404053826843,945.9549174317177,1095.5211221917937,8.616104239267962,7.719143414894465,3.440753875287506,8.616104239267962,1055.642857142857,1085.5714285714287,944.7142857142857,1085.5,7.5625,8.3125,3.375,8.3125
0810,99.86,0,0,0,0,72,Outer Regional Australia,2,1052.229601537392,1036.751244440791,1014.5076729642286,1052.229601537392,7.022116724734254,6.371601124003027,5.8314061252991305,7.022116724734254,1038.5897435897436,1053.025641025641,1019.1282051282051,1044.2948717948718,6.364705882352941,7,5.858823529411764,6.964705882352941
0812,99.99,0,0,0,0,72,Outer Regional Australia,2,1019.8783851821812,1013.0850733258363,1012.8341573474235,1019.8783851821812,6.134552479945229,5.6127339842849615,5.851948980367654,6.134552479945229,1017.3157894736842,1027.2456140350878,1021.5263157894736,1004.8070175438596,5.745762711864407,6.322033898305085,6.084745762711864,5.711864406779661
0815,100,0,0,0,0,72,Outer Regional Australia,2,1095.9987734536614,1074.999718478164,1075.0014349626172,1095.9987734536614,8.99986128717469,8.00006286509398,8.00006286509398,8.99986128717469,1078.3333333333333,1096.3333333333333,1081,1075.6666666666667,8.333333333333334,8.666666666666666,8.333333333333334,8.333333333333334
0820,99.88,0,0,0,0,72,Outer Regional Australia,2,1093.400367342285,1073.0146936011665,1010.5331928659878,1093.400367342285,8.56043543562567,8.284886840552845,5.933427295868206,8.56043543562567,1056.2857142857142,1077.5714285714287,994.9387755102041,1069.530612244898,8.074074074074074,8.296296296296296,5.611111111111111,8
0822,1.42,28.82,69.74,0,0,74,Very Remote Australia,4,763.4316825853624,663.9041162869672,673.9595945057383,763.4316825853624,2.2317908424918373,2.095080568263475,2.5043831709523086,2.2317908424918373,819.6835443037975,875.6582278481013,839.1645569620254,924.5,3.3297872340425534,3.4893617021276597,3.904255319148936,3.372340425531915
0828,100,0,0,0,0,72,Outer Regional Australia,2,978.7474339823804,970.146234313622,941.9350890930383,978.7474339823804,4.45347805938609,4.228423842562607,3.1935109739354934,4.45347805938609,1001.8,995,962.6,988.6,5,5,3.5714285714285716,5.285714285714286
0829,100,0,0,0,0,72,Outer Regional Australia,2,991.7504406974696,980.9073481454147,991.7155321004998,991.7504406974696,5.276186940727458,4.33415963285494,5.261424329666923,5.276186940727458,1033,1047.4,1041.4,979.7142857142857,7.8,7.8,8.2,5.2
0830,99.95,0,0,0,0,72,Outer Regional Australia,2,997.1251814431097,989.0417274633242,989.2084640107831,997.1251814431097,5.403447428265523,5.298649985286237,5.296651709239638,5.403447428265523,1008.3076923076923,1016.1346153846154,1004.9807692307693,975.0943396226415,6.322033898305085,6.338983050847458,6.220338983050848,4.830508474576271
0832,100,0,0,0,0,72,Outer Regional Australia,2,1074.5096980428455,1071.2051890278435,1060.4547530883165,1074.5096980428455,7.859218650818462,7.967816196059449,7.384533320924473,7.859218650818462,1058.8333333333333,1062.642857142857,1052.047619047619,1000.2142857142857,7.702127659574468,7.659574468085107,7.468085106382978,5.638297872340425
0834,100,0,0,0,0,72,Outer Regional Australia,2,1052.0119014137572,1052.4016471917614,1088.4878230633722,1052.0119014137572,7.119451880803228,7.022228460619556,8.372132790105383,7.119451880803228,1046,1039,1060.25,984.375,7.2,7.1,7.9,5.3
0835,100,0,0,0,0,72,Outer Regional Australia,2,1071.5537647087237,1073.1044324232848,1120.8808185544092,1071.5537647087237,7.847466450696614,7.916739462963592,9.083311569638036,7.847466450696614,1059.6153846153845,1057.7692307692307,1091.7692307692307,991.0769230769231,7.647058823529412,7.529411764705882,8.705882352941176,5.352941176470588
0836,100,0,0,0,0,72,Outer Regional Australia,2,1056.7294902781332,1050.453437625396,1113.9459532441242,1056.7294902781332,7.325161730461455,6.890306923146565,9.159100165765311,7.325161730461455,1043.1904761904761,1051.5238095238096,1108.5238095238096,973,6.571428571428571,7.142857142857143,9.047619047619047,4.619047619047619
0837,99.98,0.02,0,0,0,72,Outer Regional Australia,2,982.3155224429489,993.8688052812577,1041.9307855904617,982.3155224429489,4.558717554357137,4.558500250376079,7.000948136247784,4.558717554357137,1008.2857142857143,1003.8571428571429,1049.4285714285713,964,5.142857142857143,5.428571428571429,7.142857142857143,4.142857142857143
0838,100,0,0,0,0,72,Outer Regional Australia,2,1032.4588460515904,1048.0385430775555,1062.9315062311523,1032.4588460515904,6.210028845831537,6.789047656281585,7.99925417759607,6.210028845831537,1008,999.6,1039.8,942.8,5.4,5.4,6.6,3.6
0839,100,0,0,0,0,72,Outer Regional Australia,2,965.0069833735643,993.0047500843415,917.0139612649357,965.0069833735643,4.000229052939696,4.000237230107428,2.000537182581868,4.000229052939696,1030.6666666666667,1017,1023.3333333333334,959,6,5.666666666666667,6,4
0840,0,99.96,0,0,0,73,Remote Australia,3,872,871,919,872,2,1,2,2,871,872,919,880,1,2,2,2
0841,100,0,0,0,0,72,Outer Regional Australia,2,968.3657366686662,972.7600268264251,1036.767162608571,968.3657366686662,3.9999998663160103,3.5985724558872496,6.59857232220326,3.9999998663160103,937,934.6666666666666,996,902,2.6666666666666665,3.3333333333333335,5,2.3333333333333335
0845,0,100,0,0,0,73,Remote Australia,3,873.3148748233948,848.9723122350921,823.0588119996183,873.3148748233948,1.1610568128301422,1.1610568128301422,1.3221136256602843,1.1610568128301422,890.5,901,901.5,958,2,2,3,4
0846,0,100,0,0,0,73,Remote Australia,3,834.1173810878822,821.8055607798123,851.8348628001446,834.1173810878822,1.3352909912567381,1.3352879055016054,1.670575249485017,1.3352909912567381,904.75,908.25,933.75,924.5,2.5,3,3.25,3.25
0847,0,100,0,0,0,73,Remote Australia,3,830,791,777,830,1,1,1,1,791,830,777,900,1,1,1,2
0850,0,99.99,0.01,0,0,73,Remote Australia,3,975.0147326813732,969.1068056747121,947.7953043475607,975.0147326813732,4.735466161511584,4.284487255662625,3.8499998318111652,4.735466161511584,972.375,978.9166666666666,936.64,1006.9166666666666,4.6923076923076925,4.961538461538462,4.153846153846154,5.8076923076923075
0852,0,1.67,98.32,0,0,74,Very Remote Australia,4,733.8456593969674,629.2375709824365,652.1224478805129,733.8456593969674,1.781698936919831,1.7698546819537966,1.6983924956336078,1.781698936919831,721.725,796.75,741.5,897.1951219512196,2.3260869565217392,2.369565217391304,2.130434782608696,2.8260869565217392
0853,0,100,0,0,0,73,Remote Australia,3,1081,1143,1013,1081,8,10,6,8,1143,1081,1013,1045,10,8,6,7
0854,0,0,100,0,0,74,Very Remote Australia,4,784.0624248013511,718.7040693623101,651.3568723667652,784.0624248013511,1.3815554684969964,1,1,1.3815554684969964,701.6,764.8,649.6,875.4,1,1.2,1,2.2
0860,0,0,100,0,0,74,Very Remote Australia,4,891.3972930587701,857.4134201145237,827.8519624072268,891.3972930587701,3.287073643279676,2.4892854267380566,1.8833215493922306,3.287073643279676,839.2,878,817.8,959.3,2.230769230769231,2.769230769230769,1.7692307692307692,5
