id,post,Outer Regional Australia,Remote Australia,Very Remote Australia,Major Cities of Australia,Inner Regional Australia,ra_code,ra,sa1_mean_decile,mean_sa2_decile
67,3931,0,0,0,99.84,0,20,Major Cities of Australia,6.064516129032258,8
68,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
69,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,2650,28.62,0,0,0,71.38,11,Inner Regional Australia,5.536144578313253,4.181818181818182
72,5007,0,0,0,100,0,40,Major Cities of Australia,4.0285714285714285,5.6
73,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
74,3556,0,0,0,0,100,21,Inner Regional Australia,3.4651162790697674,4.714285714285714
75,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
76,3013,0,0,0,100,0,20,Major Cities of Australia,7.659090909090909,6.166666666666667
