id,post,Outer Regional Australia,Remote Australia,Very Remote Australia,Major Cities of Australia,Inner Regional Australia,ra_code,ra,sa1_mean_decile,mean_sa2_decile
311,2122,0,0,0,100,0,10,Major Cities of Australia,7.118811881188119,7.9
312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,3152,0,0,0,100,0,20,Major Cities of Australia,7.333333333333333,7.6
315,3046,0,0,0,100,0,20,Major Cities of Australia,4.169811320754717,5
316,3759,0,0,0,56.48,43.52,20,Major Cities of Australia,9,9.666666666666666
317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,3280,0,0,0,0,99.96,21,Inner Regional Australia,4.7176470588235295,4.75
319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,3091,0,0,0,100,0,20,Major Cities of Australia,8.625,8.714285714285714
321,3124,0,0,0,100,0,20,Major Cities of Australia,9.349397590361447,9
322,2131,0,0,0,100,0,10,Major Cities of Australia,5.578947368421052,6.714285714285714
323,5066,0,0,0,100,0,40,Major Cities of Australia,9.117647058823529,9.6
324,4218,0,0,0,99.98,0,30,Major Cities of Australia,6.625,7
325,7004,0,0,0,0,100,61,Inner Regional Australia,7.166666666666667,7.666666666666667
326,2913,0,0,0,100,0,80,Major Cities of Australia,8.445378151260504,9.6
327,2121,0,0,0,100,0,10,Major Cities of Australia,8.406976744186046,8.666666666666666
328,2560,0,0,0,25.44,74.56,11,Inner Regional Australia,4.082901554404145,5.384615384615385
329,2046,0,0,0,98.7,0,10,Major Cities of Australia,7.723684210526316,7.666666666666667
330,3825,42.56,0,0,0,57.44,21,Inner Regional Australia,3.5606060606060606,3.7777777777777777
331,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
332,2321,0,0,0,15.7,84.3,11,Inner Regional Australia,5.753623188405797,5
333,3055,0,0,0,100,0,20,Major Cities of Australia,6.88135593220339,7.5
334,7011,0,0,0,0,99.93,61,Inner Regional Australia,3.24,2.8
335,3042,0,0,0,100,0,20,Major Cities of Australia,6.384615384615385,8
336,3078,0,0,0,100,0,20,Major Cities of Australia,8.387755102040817,9
337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,3058,0,0,0,100,0,20,Major Cities of Australia,5.474747474747475,6.083333333333333
339,3072,0,0,0,100,0,20,Major Cities of Australia,4.549450549450549,5
340,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
341,6169,0,0,0,99.93,0,50,Major Cities of Australia,4.148148148148148,4.142857142857143
342,4020,0,0,0,99.82,0,30,Major Cities of Australia,4.5,3.25
343,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
344,3058,0,0,0,100,0,20,Major Cities of Australia,5.474747474747475,6.083333333333333
345,3161,0,0,0,100,0,20,Major Cities of Australia,8.642857142857142,9.375
346,6103,0,0,0,99.55,0,50,Major Cities of Australia,5.088235294117647,5.5
347,3174,0,0,0,100,0,20,Major Cities of Australia,2.1964285714285716,2.4444444444444446
348,4272,0,0,0,85.61,14.39,30,Major Cities of Australia,6.608695652173913,6.666666666666667
349,3429,0,0,0,50.38,49.62,20,Major Cities of Australia,6.163043478260869,7.666666666666667
350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,3564,0.02,0,0,0,99.97999999999999,21,Inner Regional Australia,4.816666666666666,3.875
353,3076,0,0,0,100,0,20,Major Cities of Australia,4.052083333333333,3.8461538461538463
354,2518,0,0,0,99.76,0.14,10,Major Cities of Australia,4.254545454545455,5
355,3799,0,0,0,0,100,21,Inner Regional Australia,3.3333333333333335,4.4
356,2614,0,0,0,100,0,80,Major Cities of Australia,7.703125,8.076923076923077
357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,3029,0,0,0,99.98,0.02,20,Major Cities of Australia,4.64,4.454545454545454
359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,4218,0,0,0,99.98,0,30,Major Cities of Australia,6.625,7
361,3195,0,0,0,99.96,0,20,Major Cities of Australia,7.902912621359223,7
362,3683,0,0,0,0,100,21,Inner Regional Australia,5.785714285714286,5.5
363,3000,0,0,0,100,0,20,Major Cities of Australia,4.931034482758621,6.625
364,3442,0,0,0,0,100,21,Inner Regional Australia,7.896551724137931,8
365,3095,0,0,0,100,0,20,Major Cities of Australia,9.267326732673267,9.571428571428571
366,3148,0,0,0,100,0,20,Major Cities of Australia,6.185185185185185,8
367,2298,0,0,0,100,0,10,Major Cities of Australia,4.033333333333333,3.6
368,2298,0,0,0,100,0,10,Major Cities of Australia,4.033333333333333,3.6
369,3137,0,0,0,100,0,20,Major Cities of Australia,6.404255319148936,7
370,2756,70.92,0,0,6.43,22.64,12,Outer Regional Australia,5.9,6.909090909090909
371,2259,0,0,0,36.84,63.11,11,Inner Regional Australia,4.34,4.5625
372,2463,43.94,0,0,0,56.05,11,Inner Regional Australia,3.2,2.25
373,3199,0,0,0,99.94,0,20,Major Cities of Australia,5.256578947368421,6.142857142857143
374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,3777,0,0,0,0,100,21,Inner Regional Australia,6,5.714285714285714
376,3690,0,0,0,0,100,21,Inner Regional Australia,4.616279069767442,4.6
377,2250,0,0,0,18.76,81.21,11,Inner Regional Australia,5.83248730964467,6.3125
378,2039,0,0,0,98.71,0,10,Major Cities of Australia,9.703703703703704,9.666666666666666
379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,2446,73.34,0,0,0,26.66,12,Outer Regional Australia,4.157894736842105,3.5
381,2481,0,0,0,0,99.97,11,Inner Regional Australia,5.744186046511628,6
382,3070,0,0,0,100,0,20,Major Cities of Australia,7.368421052631579,8.5
383,3015,0,0,0,99.87,0,20,Major Cities of Australia,7.6,7.5
384,3135,0,0,0,100,0,20,Major Cities of Australia,6.875,6.625
385,3759,0,0,0,56.48,43.52,20,Major Cities of Australia,9,9.666666666666666
386,3084,0,0,0,100,0,20,Major Cities of Australia,8.506024096385541,7.875
387,3810,0,0,0,45.54,54.46,21,Inner Regional Australia,5.083333333333333,6.5
388,3977,0,0,0,78.19,21.8,20,Major Cities of Australia,5.135371179039302,5.666666666666667
389,3095,0,0,0,100,0,20,Major Cities of Australia,9.267326732673267,9.571428571428571
390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,3400,100,0,0,0,0,22,Outer Regional Australia,4.45945945945946,5
392,3224,0,0,0,76.84,23.15,20,Major Cities of Australia,5.219512195121951,6
393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
395,3401,100,0,0,0,0,22,Outer Regional Australia,5.944444444444445,3.857142857142857
396,6076,0,0,0,41.2,58.8,51,Inner Regional Australia,7.833333333333333,6.9
397,3000,0,0,0,100,0,20,Major Cities of Australia,4.931034482758621,6.625
398,3073,0,0,0,100,0,20,Major Cities of Australia,3.576923076923077,3.3636363636363638
399,3190,0,0,0,100,0,20,Major Cities of Australia,7.25,8.6
400,2536,0,0,0,0,99.98,11,Inner Regional Australia,4.068965517241379,4.5
